Value Date,Description,Reference,Post Date,Debit,Credit,Balance
09 FEB 22,Securities PurchaSe SCTRSC CHK T,,,,,22038.4
07 FEB 22,. 0 65500-RKCE.AD,,07 FEB 22,"-200,398.55",,"29,411.900"
17 FEB 22,SecuEities Purchase 15FEB 22-75.770.04 5000O-AIRA.DU,SCTRSC22046BHBTB,17 FEB 22,-0,,"-46,358.140"
21 FEB 22,Securities Purchase SCTRSC NLZXO,,,,,22048
17 FEB 22,6000 - RKCE.AD,,17 FEB 22,"-19,250.00",,"-65,608.140"
21 FEB 22,Transfer,,,,,
21 FEB 22,. 0.000 0.00,FT220S2YJ2S0,21 FEB 22,,0,"65,608.14"
