Value Date,Description,Reference,Post Date,Debit,Credit,Balance
,E:t,,,,,1995
,"Balance at Period Start 229,810.450",,,,,"229,810.450"
09 FEB 22,Securities PurchaSe -RKCE.AD,SCTRSC22038CHK4T,07 FEB 22,-200.398,,65500
17 FEB 22,"SecuEities Purchase 15FEB 22-75.770.04 0 -46,358.140 O-AIRA.DU",SCTRSC22046BHBTB,,,0,5000
21 FEB 22,Securities Purchase - RKCE.AD,SCTRSC22048NLZXO,17 FEB 22,"-19,250.00",,6000
21 FEB 22,Transfer,FT220S2YJ2S0,21 FEB 22,,14,0.000
,Balance at Periad End 0.00,,,,,0.00
